epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,418.429,1.92634,1.94567,1.16422,0.88038,0.67761,0.68716,0.30134,1.81034,1.14473,1.17105,0.000332789,0.000332789,0.000332789
2,823.428,1.79468,1.17729,1.14802,0.8132,0.80432,0.83937,0.37922,1.76196,1.01309,1.16533,0.000600176,0.000600176,0.000600176
3,1218.72,1.77021,1.0528,1.143,0.86222,0.85021,0.86464,0.37178,1.76679,0.95865,1.15559,0.000801563,0.000801563,0.000801563
4,1612.73,1.70917,0.9641,1.12133,0.87344,0.86968,0.86693,0.40864,1.66826,0.90397,1.12672,0.000703,0.000703,0.000703
5,2009.36,1.65507,0.91522,1.10251,0.88515,0.88187,0.87861,0.40651,1.66131,0.86181,1.12065,0.000604,0.000604,0.000604
6,2408.53,1.63643,0.88263,1.09261,0.87897,0.89125,0.89287,0.43873,1.64238,0.84179,1.11682,0.000505,0.000505,0.000505
7,2791.27,1.57438,0.8438,1.07899,0.92034,0.87617,0.90582,0.45866,1.60299,0.78998,1.09746,0.000406,0.000406,0.000406
8,3175.26,1.54442,0.81109,1.06518,0.89263,0.89885,0.91549,0.4688,1.57624,0.77514,1.09281,0.000307,0.000307,0.000307
9,3558.69,1.49335,0.78206,1.04873,0.9027,0.90426,0.91792,0.4753,1.52995,0.7468,1.0807,0.000208,0.000208,0.000208
10,3943.53,1.46522,0.76555,1.03999,0.91765,0.90631,0.92028,0.49998,1.48744,0.74546,1.06106,0.000109,0.000109,0.000109
